"   ","LEG_NO","MASTER_FLIGHT_NO","ACTUAL_DEPARTURE_DT","ACTUAL_ARRIVAL_DT","AC_REG_CD","ASSMBL_CD","LOC_CD","LOC_CD"
"208","QFA0708","QFA0708","23/04/2019 6:49:00 AM","23/04/2019 8:20:00 AM","VH-VXI","N37","CBR","ADL"
"209","QFA0650","QFA0650","23/04/2019 10:47:00 PM","24/04/2019 3:17:00 AM","VH-VXI","N37","BNE","PER"
"210","QFA0743","QFA0743","23/04/2019 8:17:00 AM","23/04/2019 10:05:00 AM","VH-VYB","N37","ADL","SYD"
"211","QFA0674","QFA0674","23/04/2019 9:01:00 PM","23/04/2019 10:16:00 PM","VH-VYB","N37","MEL","ADL"
"212","QFA0541","QFA0541","23/04/2019 5:58:00 AM","23/04/2019 7:10:00 AM","VH-VYB","N37","SYD","BNE"
"213","QFA0528","QFA0528","23/04/2019 3:12:00 AM","23/04/2019 4:32:00 AM","VH-VYB","N37","BNE","SYD"
"214","QFA0422","QFA0422","23/04/2019 12:14:00 AM","23/04/2019 1:34:00 AM","VH-VYB","N37","SYD","MEL"
"215","QFA0420","QFA0420","23/04/2019 11:29:00 PM","24/04/2019 12:43:00 AM","VH-VYB","N37","SYD","MEL"
"216","QFA0678_1","QFA0678","23/04/2019 1:22:00 AM","23/04/2019 2:36:00 AM","VH-VZX","N37","MEL","ADL"
"217","QFA0463","QFA0463","23/04/2019 8:34:00 AM","23/04/2019 9:50:00 AM","VH-VZX","N37","MEL","SYD"
"218","QFA0446","QFA0446","23/04/2019 6:02:00 AM","23/04/2019 7:21:00 AM","VH-VZX","N37","SYD","MEL"
"219","QFA0418","QFA0418","23/04/2019 11:02:00 PM","24/04/2019 12:22:00 AM","VH-VZX","N37","SYD","MEL"
"220","QFA0881","QFA0881","23/04/2019 4:06:00 AM","23/04/2019 6:04:00 AM","VH-VXF","N37","MEL","OOL"
"221","QFA0880","QFA0880","23/04/2019 12:54:00 AM","23/04/2019 2:55:00 AM","VH-VXF","N37","OOL","MEL"
"222","QFA0694","QFA0694","23/04/2019 8:47:00 AM","23/04/2019 9:57:00 AM","VH-VXF","N37","MEL","ADL"
"223","QFA0693","QFA0693","23/04/2019 6:52:00 AM","23/04/2019 8:03:00 AM","VH-VXF","N37","ADL","MEL"
"224","QFA0604","QFA0604","23/04/2019 9:09:00 PM","23/04/2019 11:11:00 PM","VH-VXF","N37","BNE","MEL"
"225","QFA0139","QFA0139","23/04/2019 7:52:00 AM","23/04/2019 10:48:00 AM","VH-XZD","N37","CHC","SYD"
"226","QFA0134","QFA0134","23/04/2019 6:03:00 PM","23/04/2019 9:52:00 PM","VH-XZD","N37","BNE","CHC"
"227","QFA0122","QFA0122","23/04/2019 3:36:00 AM","23/04/2019 6:31:00 AM","VH-XZD","N37","SYD","ZQN"
"228","QFA1129","QFA1129","23/04/2019 5:46:00 AM","23/04/2019 7:34:00 AM","VH-XZL","N37","PER","PHE"
"229","QFA0776","QFA0776","23/04/2019 9:40:00 AM","23/04/2019 1:05:00 PM","VH-XZL","N37","MEL","PER"
"230","QFA0600","QFA0600","23/04/2019 7:58:00 PM","23/04/2019 10:06:00 PM","VH-XZL","N37","BNE","MEL"
"231","QFA0513","QFA0513","23/04/2019 11:05:00 PM","24/04/2019 12:32:00 AM","VH-XZL","N37","SYD","BNE"
"232","QFA0679","QFA0679","23/04/2019 11:38:00 PM","24/04/2019 12:56:00 AM","VH-VXN","N37","ADL","MEL"
"233","QFA0626","QFA0626","23/04/2019 6:13:00 AM","23/04/2019 8:32:00 AM","VH-VXN","N37","BNE","MEL"
"234","QFA0615","QFA0615","23/04/2019 12:11:00 AM","23/04/2019 2:27:00 AM","VH-VXN","N37","MEL","BNE"
"235","QFA0563","QFA0563","23/04/2019 9:17:00 AM","23/04/2019 10:38:00 AM","VH-VXN","N37","SYD","BNE"
"236","QFA0409","QFA0409","23/04/2019 8:57:00 PM","23/04/2019 10:30:00 PM","VH-VXN","N37","MEL","SYD"
"237","QFA0759","QFA0759","23/04/2019 3:45:00 AM","23/04/2019 5:33:00 AM","VH-VYG","N37","ADL","SYD"
"238","QFA0692","QFA0692","23/04/2019 6:26:00 AM","23/04/2019 7:36:00 AM","VH-VYG","N37","MEL","ADL"
"239","QFA0613","QFA0613","23/04/2019 11:09:00 PM","24/04/2019 1:30:00 AM","VH-VYG","N37","MEL","BNE"
"240","QFA0504","QFA0504","23/04/2019 8:59:00 PM","23/04/2019 10:24:00 PM","VH-VYG","N37","BNE","SYD"
"241","QFA0460","QFA0460","23/04/2019 8:26:00 AM","23/04/2019 9:42:00 AM","VH-VYG","N37","SYD","MEL"
"242","QFA0426","QFA0426","23/04/2019 1:15:00 AM","23/04/2019 2:29:00 AM","VH-VYG","N37","SYD","MEL"
"243","QFA1358","QFA1358","23/04/2019 10:27:00 PM","24/04/2019 12:11:00 AM","VH-VZR","N37","GBW","PER"
"244","QFA0916_1","QFA0916","23/04/2019 8:31:00 AM","23/04/2019 10:25:00 AM","VH-VZR","N37","KTA","PER"
"245","QFA0915","QFA0915","23/04/2019 11:04:00 AM","23/04/2019 12:49:00 PM","VH-VZR","N37","PER","KTA"
"246","QFA0591","QFA0591","23/04/2019 12:25:00 AM","23/04/2019 5:34:00 AM","VH-VZR","N37","PER","BNE"
"247","QFA1101","QFA1101","23/04/2019 7:57:00 AM","23/04/2019 9:25:00 AM","VH-VZW","N37","PER","ZNE"
"248","QFA1100","QFA1100","23/04/2019 5:35:00 AM","23/04/2019 7:12:00 AM","VH-VZW","N37","ZNE","PER"
"249","QFA0909","QFA0909","23/04/2019 1:16:00 AM","23/04/2019 3:09:00 AM","VH-VZW","N37","PER","KTA"
"250","QFA0590","QFA0590","23/04/2019 9:39:00 PM","24/04/2019 12:31:00 AM","VH-VZW","N37","ADL","PER"
"251","QFA0865","QFA0865","23/04/2019 6:13:00 AM","23/04/2019 7:29:00 AM","VH-VYK","N37","SYD","OOL"
"252","QFA0862","QFA0862","23/04/2019 4:03:00 AM","23/04/2019 5:19:00 AM","VH-VYK","N37","OOL","SYD"
"253","QFA0548","QFA0548","23/04/2019 8:55:00 AM","23/04/2019 10:27:00 AM","VH-VYK","N37","BNE","SYD"
"254","QFA0507","QFA0507","23/04/2019 9:34:00 PM","23/04/2019 10:54:00 PM","VH-VYK","N37","SYD","BNE"
"255","QFA0430","QFA0430","23/04/2019 1:59:00 AM","23/04/2019 3:14:00 AM","VH-VYK","N37","SYD","MEL"
"257","QFA0757","QFA0757","23/04/2019 2:42:00 AM","23/04/2019 6:21:00 AM","VH-VZC","N37","ADL","DRW"
"258","QFA0595","QFA0595","23/04/2019 7:50:00 AM","23/04/2019 11:05:00 AM","VH-VZC","N37","PER","ADL"
"259","QFA0815","QFA0815","23/04/2019 5:05:00 AM","23/04/2019 6:02:00 AM","VH-VZY","N37","MEL","CBR"
"260","QFA0812","QFA0812","23/04/2019 3:29:00 AM","23/04/2019 4:27:00 AM","VH-VZY","N37","CBR","MEL"
"261","QFA0454","QFA0454","23/04/2019 7:32:00 AM","23/04/2019 9:00:00 AM","VH-VZY","N37","SYD","MEL"
"262","QFA0423","QFA0423","23/04/2019 12:05:00 AM","23/04/2019 1:24:00 AM","VH-VZY","N37","MEL","SYD"
"263","QFA0417","QFA0417","23/04/2019 10:33:00 PM","24/04/2019 12:01:00 AM","VH-VZY","N37","MEL","SYD"
"264","QFA7395","QFA7395","23/04/2019 5:24:00 AM","23/04/2019 8:57:00 AM","VH-XMB","737","MEL","PER"
"265","QFA7360","QFA7360","23/04/2019 4:28:00 PM","23/04/2019 5:19:00 PM","VH-XMB","737","MEL","LST"
"266","QFA7359","QFA7359","23/04/2019 6:07:00 PM","23/04/2019 9:49:00 PM","VH-XMB","737","PER","MEL"
"267","QFA7356","QFA7356","23/04/2019 2:54:00 PM","23/04/2019 3:58:00 PM","VH-XMB","737","LST","MEL"
"268","QFA7354","QFA7354","23/04/2019 10:21:00 AM","23/04/2019 11:37:00 AM","VH-XMB","737","SYD","MEL"
"269","QFA7345","QFA7345","23/04/2019 12:21:00 PM","23/04/2019 1:40:00 PM","VH-XMB","737","MEL","SYD"
"270","QFA0968","QFA0968","23/04/2019 8:29:00 PM","23/04/2019 10:25:00 PM","VH-VXJ","N37","TSV","BNE"
"271","QFA0967","QFA0967","23/04/2019 11:08:00 PM","24/04/2019 12:43:00 AM","VH-VXJ","N37","BNE","TSV"
"272","QFA0839","QFA0839","23/04/2019 3:20:00 AM","23/04/2019 7:31:00 AM","VH-VXJ","N37","MEL","DRW"
"273","QFA0634","QFA0634","23/04/2019 9:09:00 AM","23/04/2019 11:19:00 AM","VH-VXJ","N37","BNE","MEL"
"274","QFA0697","QFA0697","23/04/2019 7:39:00 AM","23/04/2019 8:49:00 AM","VH-VYC","N37","ADL","MEL"
"275","QFA0656","QFA0656","23/04/2019 9:47:00 AM","23/04/2019 12:04:00 PM","VH-VYC","N37","BNE","ADL"
"276","QFA0529","QFA0529","23/04/2019 3:00:00 AM","23/04/2019 4:14:00 AM","VH-VYC","N37","SYD","BNE"
"277","QFA0505","QFA0505","23/04/2019 9:07:00 PM","23/04/2019 10:26:00 PM","VH-VYC","N37","SYD","BNE"
"278","QFA0445","QFA0445","23/04/2019 5:27:00 AM","23/04/2019 6:38:00 AM","VH-VYC","N37","MEL","SYD"
"279","QFA0838","QFA0838","23/04/2019 10:16:00 PM","24/04/2019 2:31:00 AM","VH-VZV","N37","DRW","MEL"
"280","QFA0834","QFA0834","23/04/2019 7:07:00 AM","23/04/2019 8:06:00 AM","VH-VZV","N37","CBR","MEL"
"281","QFA0823","QFA0823","23/04/2019 10:00:00 AM","23/04/2019 11:01:00 AM","VH-VZV","N37","MEL","CBR"
"282","QFA0772","QFA0772","23/04/2019 3:01:00 AM","23/04/2019 6:28:00 AM","VH-VZV","N37","MEL","PER"
"283","QFA0605","QFA0605","23/04/2019 8:07:00 PM","23/04/2019 10:21:00 PM","VH-VZI","N37","MEL","BNE"
"284","QFA0556","QFA0556","23/04/2019 11:44:00 AM","23/04/2019 1:13:00 PM","VH-VZI","N37","BNE","SYD"
"285","QFA0533","QFA0533","23/04/2019 4:04:00 AM","23/04/2019 5:15:00 AM","VH-VZI","N37","SYD","BNE"
"286","QFA0520","QFA0520","23/04/2019 1:16:00 AM","23/04/2019 2:40:00 AM","VH-VZI","N37","BNE","SYD"
"287","QFA0485","QFA0485","23/04/2019 11:32:00 PM","24/04/2019 3:21:00 AM","VH-VZI","N37","PER","MEL"
"288","QFA0462","QFA0462","23/04/2019 8:55:00 AM","23/04/2019 10:10:00 AM","VH-VZI","N37","SYD","MEL"
"289","QFA0449","QFA0449","23/04/2019 6:28:00 AM","23/04/2019 7:44:00 AM","VH-VZI","N37","MEL","SYD"
"290","QFA0790","QFA0790","23/04/2019 11:34:00 PM","24/04/2019 2:39:00 AM","VH-VXO","N37","ASP","SYD"
"291","QFA0651","QFA0651","23/04/2019 1:47:00 AM","23/04/2019 6:58:00 AM","VH-VXO","N37","PER","BNE"
"292","QFA0594","QFA0594","23/04/2019 8:47:00 AM","23/04/2019 1:09:00 PM","VH-VXO","N37","BNE","PER"
"293","QFA0503","QFA0503","23/04/2019 8:31:00 PM","23/04/2019 9:59:00 PM","VH-VXO","N37","SYD","BNE"
"294","QFA0975","QFA0975","23/04/2019 6:52:00 AM","23/04/2019 8:39:00 AM","VH-VYH","N37","BNE","TSV"
"295","QFA0974","QFA0974","23/04/2019 4:22:00 AM","23/04/2019 6:13:00 AM","VH-VYH","N37","TSV","BNE"
"296","QFA0662","QFA0662","23/04/2019 12:57:00 AM","23/04/2019 3:19:00 AM","VH-VYH","N37","BNE","ADL"
"297","QFA0509","QFA0509","23/04/2019 10:04:00 PM","23/04/2019 11:25:00 PM","VH-VYH","N37","SYD","BNE"
"298","QFA1061","QFA1061","23/04/2019 12:06:00 AM","23/04/2019 1:03:00 AM","VH-VZL","N37","PER","KGI"
"299","QFA0702","QFA0702","23/04/2019 11:03:00 PM","24/04/2019 2:14:00 AM","VH-VZL","N37","CNS","MEL"
"300","QFA0642","QFA0642","23/04/2019 2:30:00 AM","23/04/2019 6:36:00 AM","VH-VZL","N37","SYD","PER"
"301","QFA0455","QFA0455","23/04/2019 7:36:00 AM","23/04/2019 8:54:00 AM","VH-VZL","N37","MEL","SYD"
"302","QFA0172","QFA0172","23/04/2019 4:53:00 AM","23/04/2019 8:28:00 AM","VH-XZB","N37","MEL","WLG"
"303","QFA0171","QFA0171","23/04/2019 12:18:00 AM","23/04/2019 3:57:00 AM","VH-XZB","N37","WLG","MEL"
"304","QFA0133","QFA0133","23/04/2019 9:03:00 PM","24/04/2019 12:37:00 AM","VH-XZB","N37","CHC","MEL"
"305","QFA1381","QFA1381","23/04/2019 12:05:00 AM","23/04/2019 1:45:00 AM","VH-VXC","N37","PER","CKW"
"306","QFA0764","QFA0764","23/04/2019 6:30:00 AM","23/04/2019 8:33:00 AM","VH-VXC","N37","SYD","ADL"
"307","QFA0592","QFA0592","23/04/2019 3:02:00 AM","23/04/2019 5:47:00 AM","VH-VXC","N37","ADL","PER"
"308","QFA0508","QFA0508","23/04/2019 10:00:00 PM","23/04/2019 11:32:00 PM","VH-VXC","N37","BNE","SYD"
"309","QFA1012","QFA1012","23/04/2019 12:20:00 AM","23/04/2019 1:34:00 AM","VH-VXS","N37","MEL","HBA"
"310","QFA0631","QFA0631","23/04/2019 7:17:00 AM","23/04/2019 9:18:00 AM","VH-VXS","N37","MEL","BNE"
"311","QFA0532","QFA0532","23/04/2019 5:05:00 AM","23/04/2019 6:35:00 AM","VH-VXS","N37","BNE","SYD"
"312","QFA0434","QFA0434","23/04/2019 2:59:00 AM","23/04/2019 4:15:00 AM","VH-VXS","N37","SYD","MEL"
"313","QFA0412","QFA0412","23/04/2019 9:25:00 PM","23/04/2019 10:46:00 PM","VH-VXS","N37","SYD","MEL"
"314","QFA0709","QFA0709","23/04/2019 12:38:00 AM","23/04/2019 2:31:00 AM","VH-VZD","N37","BNE","CNS"
"315","QFA0625","QFA0625","23/04/2019 4:59:00 AM","23/04/2019 6:59:00 AM","VH-VZD","N37","MEL","BNE"
"316","QFA0506","QFA0506","23/04/2019 9:28:00 PM","23/04/2019 11:05:00 PM","VH-VZD","N37","BNE","SYD"
"317","QFA0458","QFA0458","23/04/2019 7:54:00 AM","23/04/2019 9:14:00 AM","VH-VZD","N37","SYD","MEL"
"318","QFA0735","QFA0735","23/04/2019 9:21:00 PM","23/04/2019 11:16:00 PM","VH-XZA","N37","ADL","SYD"
"319","QFA0148","QFA0148","23/04/2019 6:07:00 AM","23/04/2019 9:27:00 AM","VH-XZA","N37","SYD","AKL"
"320","QFA0145","QFA0145","23/04/2019 1:35:00 AM","23/04/2019 4:38:00 AM","VH-XZA","N37","AKL","SYD"
"321","QFA0130","QFA0130","23/04/2019 11:54:00 AM","23/04/2019 9:58:00 PM","VH-EBS","330","SYD","PVG"
"322","QFA0415","QFA0415","23/04/2019 10:10:00 PM","23/04/2019 11:45:00 PM","VH-EBJ","330","MEL","SYD"
"323","QFA0119","QFA0119","23/04/2019 10:43:00 PM","24/04/2019 1:36:00 AM","VH-QPB","330","AKL","BNE"
"324","QFA0062","QFA0062","23/04/2019 11:50:00 AM","23/04/2019 8:24:00 PM","VH-QPB","330","BNE","NRT"
"325","QFA0922","QFA0922","23/04/2019 11:31:00 PM","24/04/2019 2:33:00 AM","VH-EBA","330","CNS","SYD"
"326","QFA0653","QFA0653","23/04/2019 10:53:00 AM","23/04/2019 2:46:00 PM","VH-EBA","330","PER","MEL"
"327","QFA0648","QFA0648","23/04/2019 3:54:00 PM","23/04/2019 7:20:00 PM","VH-EBA","330","MEL","PER"
"328","QFA0453","QFA0453","23/04/2019 7:44:00 AM","23/04/2019 9:04:00 AM","VH-EBA","330","MEL","SYD"
"329","QFA0408","QFA0408","23/04/2019 9:05:00 PM","23/04/2019 10:19:00 PM","VH-EBA","330","SYD","MEL"
"330","QFA0081","QFA0081","23/04/2019 12:13:00 AM","23/04/2019 8:17:00 AM","VH-QPF","330","SIN","SYD"
"331","QFA0061","QFA0061","23/04/2019 11:30:00 PM","24/04/2019 8:39:00 AM","VH-QPF","330","NRT","BNE"
"332","QFA0052","QFA0052","23/04/2019 1:11:00 PM","23/04/2019 8:32:00 PM","VH-QPF","330","BNE","SIN"
"333","QFA0575","QFA0575","23/04/2019 10:34:00 PM","24/04/2019 3:30:00 AM","VH-EBN","330","PER","SYD"
"334","QFA0497","QFA0497","23/04/2019 11:59:00 AM","23/04/2019 1:22:00 PM","VH-EBN","330","MEL","SYD"
"335","QFA0485","QFA0485","23/04/2019 12:01:00 AM","23/04/2019 3:49:00 AM","VH-EBN","330","PER","MEL"
"336","QFA0476","QFA0476","23/04/2019 5:04:00 AM","23/04/2019 8:33:00 AM","VH-EBN","330","MEL","PER"
"337","QFA0464","QFA0464","23/04/2019 9:43:00 AM","23/04/2019 10:59:00 AM","VH-EBN","330","SYD","MEL"
"338","QFA0400","QFA0400","23/04/2019 7:57:00 PM","23/04/2019 9:14:00 PM","VH-EBN","330","SYD","MEL"
"339","QFA0577","QFA0577","23/04/2019 2:23:00 AM","23/04/2019 6:49:00 AM","VH-EBE","330","PER","SYD"
"340","QFA0566","QFA0566","23/04/2019 8:29:00 AM","23/04/2019 12:23:00 PM","VH-EBE","330","SYD","PER"
"341","QFA0129","QFA0129","23/04/2019 11:40:00 PM","24/04/2019 10:15:00 AM","VH-EBR","330","PVG","SYD"
"342","QFA0044","QFA0044","23/04/2019 2:16:00 PM","23/04/2019 8:12:00 PM","VH-EBR","330","SYD","DPS"
"343","QFA0043","QFA0043","23/04/2019 6:26:00 AM","23/04/2019 12:28:00 PM","VH-EBR","330","DPS","SYD"
"344","QFA0118","QFA0118","23/04/2019 2:30:00 PM","23/04/2019 11:28:00 PM","VH-QPA","330","SYD","HKG"
"345","QFA0024","QFA0024","23/04/2019 11:46:00 AM","23/04/2019 8:49:00 PM","VH-EBV","330","SYD","BKK"
"346","QFA0023","QFA0023","23/04/2019 11:49:00 PM","24/04/2019 9:34:00 AM","VH-EBV","330","BKK","SYD"
"347","QFA0023","QFA0023","23/04/2019 12:08:00 AM","23/04/2019 10:12:00 AM","VH-EBV","330","BKK","SYD"
"348","QFA0583","QFA0583","23/04/2019 9:53:00 AM","23/04/2019 2:30:00 PM","VH-EBM","330","PER","SYD"
"349","QFA0568","QFA0568","23/04/2019 4:12:00 PM","23/04/2019 8:02:00 PM","VH-EBM","330","SYD","PER"
"350","QFA0565","QFA0565","23/04/2019 9:24:00 PM","24/04/2019 2:08:00 AM","VH-EBM","330","PER","SYD"
"351","QFA0082","QFA0082","23/04/2019 1:02:00 PM","23/04/2019 9:03:00 PM","VH-QPE","330","SYD","SIN"
"352","QFA0051","QFA0051","23/04/2019 1:55:00 AM","23/04/2019 10:12:00 AM","VH-QPE","330","SIN","BNE"
"353","QFA0574","QFA0574","23/04/2019 9:15:00 PM","24/04/2019 1:24:00 AM","VH-EBD","330","SYD","PER"
"354","QFA0072","QFA0072","23/04/2019 10:42:00 AM","23/04/2019 3:37:00 PM","VH-EBD","330","PER","SIN"
"355","QFA0071","QFA0071","23/04/2019 3:49:00 AM","23/04/2019 8:59:00 AM","VH-EBD","330","SIN","PER"
"356","QFA0020","QFA0020","23/04/2019 12:09:00 PM","23/04/2019 8:10:00 PM","VH-QPI","330","SYD","MNL"
"357","QFA0019","QFA0019","23/04/2019 2:12:00 AM","23/04/2019 10:24:00 AM","VH-QPI","330","MNL","SYD"
"358","QFA0767","QFA0767","23/04/2019 10:27:00 AM","23/04/2019 3:39:00 PM","VH-EBQ","330","PER","BNE"
"359","QFA0480","QFA0480","23/04/2019 10:21:00 PM","24/04/2019 2:00:00 AM","VH-EBQ","330","MEL","PER"
"360","QFA0143","QFA0143","23/04/2019 12:01:00 AM","23/04/2019 3:05:00 AM","VH-EBQ","330","AKL","SYD"
"361","QFA0126","QFA0126","23/04/2019 4:18:00 AM","23/04/2019 7:59:00 AM","VH-EBQ","330","BNE","AKL"
"362","QFA0775","QFA0775","23/04/2019 9:14:00 PM","24/04/2019 1:08:00 AM","VH-EBL","330","PER","MEL"
"363","QFA0158","QFA0158","23/04/2019 6:30:00 AM","23/04/2019 10:12:00 AM","VH-EBL","330","MEL","AKL"
"364","QFA0923","QFA0923","23/04/2019 3:39:00 AM","23/04/2019 6:02:00 AM","VH-EBC","330","SYD","CNS"
"365","QFA0652","QFA0652","23/04/2019 3:02:00 PM","23/04/2019 7:19:00 PM","VH-EBC","330","BNE","PER"
"366","QFA0571","QFA0571","23/04/2019 7:34:00 AM","23/04/2019 12:06:00 PM","VH-EBC","330","PER","SYD"
"367","QFA0097","QFA0097","23/04/2019 12:07:00 AM","23/04/2019 9:30:00 AM","VH-QPH","330","HKG","BNE"
"368","QFA0030","QFA0030","23/04/2019 12:07:00 PM","23/04/2019 9:17:00 PM","VH-QPH","330","MEL","HKG"
"369","QFA0029","QFA0029","23/04/2019 11:38:00 PM","24/04/2019 8:58:00 AM","VH-QPH","330","HKG","MEL"
"370","QFA0149","QFA0149","23/04/2019 8:52:00 AM","23/04/2019 11:47:00 AM","VH-EBK","330","AKL","SYD"
"371","QFA0146","QFA0146","23/04/2019 3:46:00 AM","23/04/2019 7:01:00 AM","VH-EBK","330","SYD","AKL"
"372","QFA0143","QFA0143","23/04/2019 11:32:00 PM","24/04/2019 2:32:00 AM","VH-EBK","330","AKL","SYD"
"373","QFA0140","QFA0140","23/04/2019 6:20:00 PM","23/04/2019 9:42:00 PM","VH-EBK","330","SYD","AKL"
"374","QFA0128","QFA0128","23/04/2019 11:38:00 AM","23/04/2019 8:40:00 PM","VH-QPC","330","SYD","HKG"
"375","QFA0033","QFA0033","23/04/2019 11:58:00 PM","24/04/2019 10:19:00 AM","VH-QPC","330","KIX","SYD"
"376","QFA0029","QFA0029","23/04/2019 12:08:00 AM","23/04/2019 9:10:00 AM","VH-QPC","330","HKG","MEL"
"377","QFA0769","QFA0769","23/04/2019 3:00:00 AM","23/04/2019 6:51:00 AM","VH-EBB","330","PER","MEL"
"378","QFA0768","QFA0768","23/04/2019 8:03:00 AM","23/04/2019 11:18:00 AM","VH-EBB","330","MEL","PER"
"379","QFA0414","QFA0414","23/04/2019 9:57:00 PM","23/04/2019 11:08:00 PM","VH-EBB","330","SYD","MEL"
"380","QFA0080","QFA0080","23/04/2019 10:57:00 AM","23/04/2019 8:55:00 PM","VH-QPG","330","MEL","NRT"
"381","QFA0117","QFA0117","23/04/2019 11:12:00 AM","23/04/2019 8:33:00 PM","VH-EBO","330","HKG","SYD"
"382","QFA0038","QFA0038","23/04/2019 3:47:00 PM","23/04/2019 11:06:00 PM","VH-EBG","330","MEL","SIN"
"383","QFA0037","QFA0037","23/04/2019 6:22:00 AM","23/04/2019 1:55:00 PM","VH-EBG","330","SIN","MEL"
"384","QFA0028","QFA0028","23/04/2019 6:15:00 PM","24/04/2019 8:26:00 AM","VH-OEG","744","SYD","SCL"
"385","QFA0027_1","QFA0027","23/04/2019 3:58:00 AM","23/04/2019 4:01:00 PM","VH-OEG","744","SCL","SYD"
"386","QFA0026","QFA0026","23/04/2019 12:57:00 PM","23/04/2019 10:00:00 PM","VH-OEH","744","SYD","HND"
"387","QFA0073","QFA0073","23/04/2019 7:54:00 AM","23/04/2019 9:06:00 PM","VH-OEI","744","SFO","SYD"
"388","QFA0937","QFA0937","23/04/2019 9:33:00 PM","23/04/2019 11:27:00 PM","VH-XZM","N37","ASP","DRW"
"389","QFA0792","QFA0792","23/04/2019 12:15:00 PM","23/04/2019 3:38:00 PM","VH-XZM","N37","DRW","PER"
"390","QFA0777","QFA0777","23/04/2019 7:23:00 AM","23/04/2019 11:22:00 AM","VH-XZM","N37","PER","MEL"
"391","QFA0441","QFA0441","23/04/2019 4:37:00 AM","23/04/2019 5:53:00 AM","VH-XZM","N37","MEL","SYD"
"392","QFA0064","QFA0064","23/04/2019 5:06:00 PM","24/04/2019 4:18:00 AM","VH-OEB","744","SYD","JNB"
"393","QFA0063","QFA0063","23/04/2019 1:06:00 AM","23/04/2019 2:48:00 PM","VH-OEB","744","JNB","SYD"
"394","QFA0074","QFA0074","23/04/2019 5:43:00 AM","23/04/2019 8:01:00 PM","VH-OEE","744","SYD","SFO"
"395","QFA7524","QFA7524","23/04/2019 7:21:00 PM","23/04/2019 10:09:00 PM","VH-EFR","767F","SYD","CHC"
"396","QFA7524","QFA7524","23/04/2019 4:12:00 PM","23/04/2019 5:45:00 PM","VH-EFR","767F","CHC","AKL"
"397","QFA7523","QFA7523","23/04/2019 12:22:00 PM","23/04/2019 3:13:00 PM","VH-EFR","767F","AKL","SYD"
"398","QFA0025","QFA0025","23/04/2019 11:19:00 AM","23/04/2019 8:22:00 PM","VH-OEF","744","HND","SYD"
"399","QFA0015","QFA0015","23/04/2019 12:42:00 AM","23/04/2019 1:54:00 PM","VH-ZND","787","LAX","BNE"
"400","QFA0012","QFA0012","23/04/2019 10:21:00 PM","24/04/2019 3:36:00 AM","VH-ZND","787","LAX","JFK"
"401","QFA0011","QFA0011","23/04/2019 3:37:00 PM","23/04/2019 8:49:00 PM","VH-ZND","787","JFK","LAX"
"402","QFA0127","QFA0127","23/04/2019 12:33:00 AM","23/04/2019 9:44:00 AM","VH-ZNC","787","HKG","SYD"
"403","QFA0098","QFA0098","23/04/2019 12:13:00 PM","23/04/2019 8:18:00 PM","VH-ZNC","787","BNE","HKG"
"404","QFA1011","QFA1011","23/04/2019 10:19:00 PM","23/04/2019 11:24:00 PM","VH-XZN","N37","HBA","MEL"
"405","QFA0825","QFA0825","23/04/2019 4:04:00 AM","23/04/2019 7:30:00 AM","VH-XZN","N37","BNE","DRW"
"406","QFA0551","QFA0551","23/04/2019 8:33:00 AM","23/04/2019 9:51:00 AM","VH-XZN","N37","SYD","BNE"
"407","QFA0401","QFA0401","23/04/2019 7:56:00 PM","23/04/2019 9:19:00 PM","VH-XZN","N37","MEL","SYD"
"408","QFA0009","QFA0009","23/04/2019 10:47:00 AM","24/04/2019 4:08:00 AM","VH-ZNF","787","LHR","PER"
"409","QFA0009","QFA0009","23/04/2019 5:18:00 AM","23/04/2019 9:06:00 AM","VH-ZNF","787","PER","MEL"
"410","QFA0580","QFA0580","23/04/2019 4:48:00 AM","23/04/2019 8:58:00 AM","VH-XZG","N37","SYD","PER"
"411","QFA0091","QFA0091","23/04/2019 9:46:00 PM","24/04/2019 12:29:00 AM","VH-XZG","N37","NOU","SYD"
"412","QFA0864","QFA0864","23/04/2019 1:27:00 AM","23/04/2019 2:40:00 AM","VH-XZK","N37","OOL","SYD"
"413","QFA0863","QFA0863","23/04/2019 3:27:00 AM","23/04/2019 4:42:00 AM","VH-XZK","N37","SYD","OOL"
"414","QFA0481","QFA0481","23/04/2019 8:51:00 AM","23/04/2019 12:51:00 PM","VH-XZK","N37","PER","MEL"
"415","QFA0447","QFA0447","23/04/2019 5:58:00 AM","23/04/2019 7:14:00 AM","VH-XZK","N37","MEL","SYD"
"416","QFA0703","QFA0703","23/04/2019 3:25:00 AM","23/04/2019 6:21:00 AM","VH-XZP","N37","MEL","CNS"
"417","QFA0632","QFA0632","23/04/2019 8:07:00 AM","23/04/2019 10:15:00 AM","VH-XZP","N37","BNE","MEL"
"418","QFA0501","QFA0501","23/04/2019 7:59:00 PM","23/04/2019 9:26:00 PM","VH-XZP","N37","SYD","BNE"
"419","QFA0419","QFA0419","23/04/2019 11:03:00 PM","24/04/2019 12:25:00 AM","VH-XZP","N37","MEL","SYD"
"420","QFA0010","QFA0010","23/04/2019 11:11:00 AM","24/04/2019 3:33:00 AM","VH-ZNA","787","PER","LHR"
