"   ","LEG_NO","MASTER_FLIGHT_NO","ACTUAL_DEPARTURE_DT","ACTUAL_ARRIVAL_DT","AC_REG_CD","ASSMBL_CD","LOC_CD","LOC_CD"
"48","QFA0525","QFA0525","23/04/2019 2:12:00 AM","23/04/2019 3:27:00 AM","VH-VYD","N37","SYD","BNE"
"49","QFA0443","QFA0443","23/04/2019 4:59:00 AM","23/04/2019 6:10:00 AM","VH-VYD","N37","MEL","SYD"
"50","QFA0155","QFA0155","23/04/2019 6:29:00 AM","23/04/2019 10:05:00 AM","VH-VYZ","N37","AKL","MEL"
"51","QFA0132","QFA0132","23/04/2019 1:43:00 AM","23/04/2019 5:00:00 AM","VH-VYZ","N37","MEL","CHC"
"52","QFA0120","QFA0120","23/04/2019 6:39:00 PM","23/04/2019 10:18:00 PM","VH-VYZ","N37","BNE","AKL"
"53","QFA0057","QFA0057","23/04/2019 11:27:00 PM","24/04/2019 2:32:00 AM","VH-VYZ","N37","POM","BNE"
"54","QFA0164","QFA0164","23/04/2019 3:53:00 AM","23/04/2019 7:20:00 AM","VH-VZK","N37","SYD","WLG"
"55","QFA0163","QFA0163","23/04/2019 8:29:00 AM","23/04/2019 11:26:00 AM","VH-VZK","N37","WLG","SYD"
"56","QFA0162","QFA0162","23/04/2019 7:05:00 PM","23/04/2019 10:24:00 PM","VH-VZK","N37","SYD","WLG"
"57","QFA1103","QFA1103","23/04/2019 2:53:00 AM","23/04/2019 4:29:00 AM","VH-VXB","N37","PER","ZNE"
"58","QFA1102","QFA1102","23/04/2019 12:25:00 AM","23/04/2019 2:03:00 AM","VH-VXB","N37","ZNE","PER"
"59","QFA0654","QFA0654","23/04/2019 6:52:00 AM","23/04/2019 11:21:00 AM","VH-VXB","N37","BNE","PER"
"60","QFA0611","QFA0611","23/04/2019 10:10:00 PM","24/04/2019 12:17:00 AM","VH-VXB","N37","MEL","BNE"
"61","QFA0766","QFA0766","23/04/2019 8:34:00 AM","23/04/2019 10:22:00 AM","VH-VXP","N37","SYD","ADL"
"62","QFA0691","QFA0691","23/04/2019 5:37:00 AM","23/04/2019 6:42:00 AM","VH-VXP","N37","ADL","MEL"
"63","QFA0517","QFA0517","23/04/2019 12:01:00 AM","23/04/2019 1:30:00 AM","VH-VXP","N37","SYD","BNE"
"64","QFA0435","QFA0435","23/04/2019 3:00:00 AM","23/04/2019 4:13:00 AM","VH-VXP","N37","MEL","SYD"
"65","QFA0413","QFA0413","23/04/2019 9:44:00 PM","23/04/2019 11:12:00 PM","VH-VXP","N37","MEL","SYD"
"66","QFA0732","QFA0732","23/04/2019 9:00:00 PM","23/04/2019 10:44:00 PM","VH-VYI","N37","SYD","ADL"
"67","QFA0663","QFA0663","23/04/2019 1:43:00 AM","23/04/2019 4:07:00 AM","VH-VYI","N37","ADL","BNE"
"68","QFA0585","QFA0585","23/04/2019 5:18:00 AM","23/04/2019 8:32:00 AM","VH-VYI","N37","PER","ADL"
"69","QFA0584","QFA0584","23/04/2019 9:32:00 AM","23/04/2019 12:16:00 PM","VH-VYI","N37","ADL","PER"
"70","QFA1017","QFA1017","23/04/2019 9:33:00 AM","23/04/2019 10:41:00 AM","VH-VZA","N37","HBA","MEL"
"71","QFA1010","QFA1010","23/04/2019 8:01:00 PM","23/04/2019 9:14:00 PM","VH-VZA","N37","MEL","HBA"
"72","QFA0819","QFA0819","23/04/2019 7:03:00 AM","23/04/2019 8:00:00 AM","VH-VZA","N37","MEL","CBR"
"73","QFA0818","QFA0818","23/04/2019 5:24:00 AM","23/04/2019 6:18:00 AM","VH-VZA","N37","CBR","MEL"
"74","QFA0608","QFA0608","23/04/2019 10:13:00 PM","24/04/2019 12:23:00 AM","VH-VZA","N37","BNE","MEL"
"75","QFA0431","QFA0431","23/04/2019 2:07:00 AM","23/04/2019 3:17:00 AM","VH-VZA","N37","MEL","SYD"
"76","QFA0156","QFA0156","23/04/2019 1:33:00 AM","23/04/2019 5:29:00 AM","VH-XZC","N37","MEL","AKL"
"77","QFA0151","QFA0151","23/04/2019 8:58:00 PM","24/04/2019 12:46:00 AM","VH-XZC","N37","AKL","MEL"
"78","QFA0046","QFA0046","23/04/2019 2:10:00 PM","23/04/2019 7:39:00 PM","VH-XZC","N37","MEL","DPS"
"79","QFA0045","QFA0045","23/04/2019 7:09:00 AM","23/04/2019 12:53:00 PM","VH-XZC","N37","DPS","MEL"
"80","QFA1016","QFA1016","23/04/2019 7:01:00 AM","23/04/2019 8:12:00 AM","VH-VXE","N37","MEL","HBA"
"81","QFA1015","QFA1015","23/04/2019 4:59:00 AM","23/04/2019 6:12:00 AM","VH-VXE","N37","HBA","MEL"
"82","QFA0824","QFA0824","23/04/2019 11:05:00 PM","24/04/2019 3:06:00 AM","VH-VXE","N37","DRW","BNE"
"83","QFA0617","QFA0617","23/04/2019 1:10:00 AM","23/04/2019 3:09:00 AM","VH-VXE","N37","MEL","BNE"
"84","QFA0502","QFA0502","23/04/2019 8:26:00 PM","23/04/2019 9:56:00 PM","VH-VXE","N37","BNE","SYD"
"85","QFA0490","QFA0490","23/04/2019 9:59:00 AM","23/04/2019 11:08:00 AM","VH-VXE","N37","SYD","MEL"
"86","QFA1389","QFA1389","23/04/2019 12:01:00 AM","23/04/2019 1:39:00 AM","VH-VXT","N37","PER","SLJ"
"87","QFA1128","QFA1128","23/04/2019 2:45:00 AM","23/04/2019 4:41:00 AM","VH-VXT","N37","PHE","PER"
"88","QFA0984","QFA0984","23/04/2019 5:34:00 AM","23/04/2019 9:53:00 AM","VH-VXT","N37","BNE","PHE"
"89","QFA0589","QFA0589","23/04/2019 10:25:00 PM","24/04/2019 3:35:00 AM","VH-VXT","N37","PER","BNE"
"90","QFA1384","QFA1384","23/04/2019 9:29:00 PM","23/04/2019 11:12:00 PM","VH-VZJ","N37","KFE","PER"
"91","QFA0918","QFA0918","23/04/2019 8:46:00 AM","23/04/2019 10:36:00 AM","VH-VZJ","N37","KTA","PER"
"92","QFA0917","QFA0917","23/04/2019 11:25:00 AM","23/04/2019 1:12:00 PM","VH-VZJ","N37","PER","KTA"
"93","QFA0939","QFA0939","23/04/2019 5:04:00 AM","23/04/2019 7:02:00 AM","VH-VZE","N37","ASP","DRW"
"94","QFA0938","QFA0938","23/04/2019 7:41:00 AM","23/04/2019 9:36:00 AM","VH-VZE","N37","DRW","ASP"
"95","QFA0936","QFA0936","23/04/2019 2:00:00 AM","23/04/2019 3:51:00 AM","VH-VZE","N37","DRW","ASP"
"96","QFA0898","QFA0898","23/04/2019 9:55:00 PM","23/04/2019 11:44:00 PM","VH-VZE","N37","KTA","PER"
"97","QFA0793","QFA0793","23/04/2019 10:29:00 AM","23/04/2019 2:07:00 PM","VH-VZE","N37","PER","DRW"
"98","QFA0138","QFA0138","23/04/2019 6:54:00 PM","23/04/2019 10:22:00 PM","VH-VZZ","N37","SYD","CHC"
"99","QFA0135","QFA0135","23/04/2019 8:54:00 AM","23/04/2019 12:21:00 PM","VH-VZZ","N37","CHC","BNE"
"100","QFA0121","QFA0121","23/04/2019 11:54:00 PM","24/04/2019 2:48:00 AM","VH-VZZ","N37","ZQN","SYD"
"101","QFA0058","QFA0058","23/04/2019 3:44:00 AM","23/04/2019 6:23:00 AM","VH-VZZ","N37","BNE","POM"
"102","QFA0675","QFA0675","23/04/2019 10:42:00 PM","23/04/2019 11:56:00 PM","VH-VXA","N37","ADL","MEL"
"103","QFA0639","QFA0639","23/04/2019 10:11:00 AM","23/04/2019 12:17:00 PM","VH-VXA","N37","MEL","BNE"
"104","QFA0542","QFA0542","23/04/2019 7:32:00 AM","23/04/2019 8:54:00 AM","VH-VXA","N37","BNE","SYD"
"105","QFA0442","QFA0442","23/04/2019 4:57:00 AM","23/04/2019 6:15:00 AM","VH-VXA","N37","SYD","MEL"
"106","QFA0425","QFA0425","23/04/2019 12:29:00 AM","23/04/2019 1:54:00 AM","VH-VXA","N37","MEL","SYD"
"107","QFA0699","QFA0699","23/04/2019 8:37:00 AM","23/04/2019 9:41:00 AM","VH-VXL","N37","ADL","MEL"
"108","QFA0690","QFA0690","23/04/2019 5:34:00 AM","23/04/2019 6:42:00 AM","VH-VXL","N37","MEL","ADL"
"109","QFA0685","QFA0685","23/04/2019 3:31:00 AM","23/04/2019 4:36:00 AM","VH-VXL","N37","ADL","MEL"
"110","QFA0593","QFA0593","23/04/2019 8:37:00 PM","23/04/2019 11:48:00 PM","VH-VXL","N37","PER","ADL"
"111","QFA0843","QFA0843","23/04/2019 4:38:00 AM","23/04/2019 8:45:00 AM","VH-VYE","N37","SYD","DRW"
"112","QFA0754","QFA0754","23/04/2019 10:20:00 PM","24/04/2019 12:24:00 AM","VH-VYE","N37","AYQ","ADL"
"113","QFA0671","QFA0671","23/04/2019 8:06:00 PM","23/04/2019 9:20:00 PM","VH-VYE","N37","ADL","MEL"
"114","QFA0491","QFA0491","23/04/2019 10:30:00 AM","23/04/2019 11:59:00 AM","VH-VYE","N37","MEL","SYD"
"115","QFA0762","QFA0762","23/04/2019 12:07:00 AM","23/04/2019 3:31:00 AM","VH-VZO","N37","MEL","PER"
"116","QFA0494","QFA0494","23/04/2019 10:57:00 AM","23/04/2019 12:07:00 PM","VH-VZO","N37","SYD","MEL"
"117","QFA0459","QFA0459","23/04/2019 7:58:00 AM","23/04/2019 9:12:00 AM","VH-VZO","N37","MEL","SYD"
